rank,openalex_author_id,author,rwd_name_variants,unique_retracted_papers,openalex_works,retracted_papers_per_100_works,first_retraction_year,last_retraction_year,median_retraction_lag_years,orcid,match_confidence,match_confidence_explanation,identity_decision,identity_decision_explanation,review_evidence,merged_openalex_ids,raw_openalex_profile_count,works_count_method,exact_match_papers,initial_match_papers
74,A5100411814,Dan Wang,Dan Wang,6,381,1.57,2015,2026,4.0,https://orcid.org/0000-0002-3814-7556,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100411814,1,Profile count,6,0
75,A5100453114,Fang Liu,Fang Liu,6,800,0.75,2022,2025,5.0,https://orcid.org/0000-0003-1707-5183,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100453114,1,Profile count,6,0
76,A5023828770,Feng Wang,Feng Wang,6,193,3.11,2014,2024,0.5,https://orcid.org/0000-0003-4068-3339,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5023828770,1,Profile count,6,0
77,A5100367379,Gang Wang,Gang Wang,6,338,1.78,2021,2025,5.0,https://orcid.org/0000-0002-4690-9020,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100367379,1,Profile count,6,0
78,A5100367389,Gang Wang,Gang Wang,6,1174,0.51,2010,2025,2.0,https://orcid.org/0000-0002-5842-8080,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100367389,1,Profile count,6,0
79,A5100367417,Gang Wang,Gang Wang,6,315,1.9,2025,2025,1.0,https://orcid.org/0000-0002-8836-1593,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100367417,1,Profile count,6,0
80,A5100423905,Hui Li,Hui Li,6,692,0.87,2015,2023,2.5,https://orcid.org/0000-0002-5604-0592,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100423905,1,Profile count,6,0
81,A5100436834,Jie Zhang,Jie Zhang,6,334,1.8,2011,2024,4.5,https://orcid.org/0000-0003-0242-8812,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100436834,1,Profile count,6,0
82,A5100336796,Jing Li,Jing Li,6,3212,0.19,2022,2024,2.0,https://orcid.org/0000-0001-7792-4322,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100336796,1,Profile count,6,0
83,A5100601412,Jun Li,Jun Li,6,209,2.87,2019,2020,0.5,https://orcid.org/0000-0003-4180-9853,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100601412,1,Profile count,6,0
84,A5108651569,Jun Lü,Jun Lu,6,225,2.67,2023,2024,3.0,https://orcid.org/0009-0000-6292-2252,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5108651569,1,Profile count,6,0
85,A5100384671,Jun Wang,Jun Wang,6,1534,0.39,2010,2024,4.0,https://orcid.org/0000-0001-9957-9208,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100384671,1,Profile count,6,0
86,A5100384716,Jun Wang,Jun Wang,6,408,1.47,2021,2022,2.5,https://orcid.org/0000-0002-3465-784x,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100384716,1,Profile count,6,0
87,A5100368058,Na Li,Na Li,6,2509,0.24,2010,2024,3.5,https://orcid.org/0000-0002-0392-6672,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100368058,1,Profile count,6,0
88,A5100435520,Ping Li,Ping Li,6,1058,0.57,2018,2024,2.5,https://orcid.org/0000-0002-4926-3835,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100435520,1,Profile count,6,0
89,A5100338606,Ping Wang,Ping Wang,6,256,2.34,2020,2024,5.5,https://orcid.org/0000-0001-7259-9284,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100338606,1,Profile count,6,0
90,A5100338632,Ping Wang,Ping Wang,6,2050,0.29,2020,2026,3.0,https://orcid.org/0000-0002-1557-0394,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100338632,1,Profile count,6,0
91,A5057540096,Qian Wang,Qian Wang,6,241,2.49,2023,2023,1.5,https://orcid.org/0000-0002-5031-0686,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5057540096,1,Profile count,6,0
92,A5100455312,Tao Li,Tao Li,6,1075,0.56,2022,2023,1.5,https://orcid.org/0000-0002-5108-1774,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100455312,1,Profile count,6,0
93,A5100322712,Yan Wang,Yan Wang; Yang Wang,6,1943,0.31,2010,2024,1.0,https://orcid.org/0000-0002-5344-1884,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100322712,1,Profile count,6,0
94,A5100322879,Yang Wang,Yang Wang,6,735,0.82,2019,2024,2.5,https://orcid.org/0000-0003-0842-2446,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100322879,1,Profile count,6,0
95,A5100397510,Yang Yang,Yang Yang,6,854,0.7,2019,2026,3.0,https://orcid.org/0000-0002-1163-2359,High,High confidence: all 6 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100397510,1,Profile count,6,0
96,A5100372343,Bin Wang,Bin Wang,5,893,0.56,2011,2023,1.0,https://orcid.org/0000-0002-2712-9045,High,High confidence: all 5 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100372343,1,Profile count,5,0
97,A5100407980,Bo Wang,Bo Wang,5,40,12.5,2022,2024,4.0,https://orcid.org/0000-0001-5654-6617,High,High confidence: all 5 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100407980,1,Profile count,5,0
98,A5100656516,Dong‐Mei Wu,Dong Mei Wu,5,37,13.51,2021,2022,3.0,https://orcid.org/0000-0002-1816-1107,High,High confidence: all 5 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100656516,1,Profile count,5,0
99,A5080102032,Hao Wang,Hao Wang,5,3701,0.14,2009,2022,0.0,https://orcid.org/0000-0001-7594-7387,High,High confidence: all 5 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5080102032,1,Profile count,5,0
100,A5100370972,Hong Wang,Hong Wang,5,1249,0.4,2017,2023,1.0,https://orcid.org/0000-0003-0477-2908,High,High confidence: all 5 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100370972,1,Profile count,5,0
101,A5069097747,Hui Li,Hui Li,5,439,1.14,2017,2024,2.0,https://orcid.org/0000-0002-4611-7808,High,High confidence: all 5 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5069097747,1,Profile count,5,0
102,A5100460917,Hui Wang,Hui Wang,5,2378,0.21,2011,2023,1.0,https://orcid.org/0000-0003-2633-6015,High,High confidence: all 5 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100460917,1,Profile count,5,0
103,A5100323524,Hui Zhang,Hui Zhang,5,56,8.93,2020,2025,4.0,https://orcid.org/0000-0003-0670-9478,High,High confidence: all 5 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100323524,1,Profile count,5,0
104,A5100370559,Jian Wang,Jian Wang,5,1348,0.37,2021,2024,6.0,https://orcid.org/0000-0003-2291-640x,High,High confidence: all 5 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100370559,1,Profile count,5,0
105,A5115601814,Jie Chen,Jie Chen,5,670,0.75,2019,2024,2.0,https://orcid.org/0000-0003-0266-0929,High,High confidence: all 5 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5115601814,1,Profile count,5,0
